experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,9,0,24.40,100.00,93.36,93.36,100.00
0,1,0,9,0,100.00,100.00,93.36,100.00,98.91
0,1,1,7,1,0.00,100.00,94.46,0.00,99.32
0,2,0,9,0,100.00,100.00,93.36,98.91,98.02
0,2,1,7,1,100.00,100.00,94.46,99.32,98.05
0,2,2,3,1,0.00,100.00,89.50,0.00,96.44
0,3,0,9,0,100.00,100.00,93.36,98.02,95.24
0,3,1,7,1,100.00,100.00,94.46,98.05,96.01
0,3,2,3,1,100.00,100.00,89.50,96.44,92.28
0,3,3,0,2,0.00,100.00,98.47,0.00,81.02
0,4,0,9,0,100.00,100.00,93.36,95.24,95.44
0,4,1,7,1,100.00,100.00,94.46,96.01,97.67
0,4,2,3,1,100.00,100.00,89.50,92.28,92.18
0,4,3,0,2,100.00,100.00,98.47,81.02,52.24
0,4,4,4,2,0.00,99.60,96.13,0.00,92.06
0,5,0,9,0,100.00,100.00,93.36,95.44,97.52
0,5,1,7,1,100.00,100.00,94.46,97.67,93.58
0,5,2,3,1,100.00,99.60,89.50,92.18,73.56
0,5,3,0,2,100.00,100.00,98.47,52.24,56.73
0,5,4,4,2,99.60,99.60,96.13,92.06,82.38
0,5,5,9,1,4.40,100.00,79.09,17.74,78.59
0,6,0,9,0,100.00,100.00,93.36,97.52,92.47
0,6,1,7,1,100.00,100.00,94.46,93.58,94.75
0,6,2,3,1,99.60,99.60,89.50,73.56,77.43
0,6,3,0,2,100.00,100.00,98.47,56.73,43.98
0,6,4,4,2,99.60,99.60,96.13,82.38,89.92
0,6,5,9,1,100.00,100.00,79.09,78.59,71.75
0,6,6,4,0,41.20,100.00,97.56,47.15,82.38
0,7,0,9,0,100.00,100.00,93.36,92.47,91.08
0,7,1,7,1,100.00,100.00,94.46,94.75,96.40
0,7,2,3,1,99.60,99.60,89.50,77.43,81.39
0,7,3,0,2,100.00,100.00,98.47,43.98,35.10
0,7,4,4,2,99.60,99.60,96.13,89.92,89.00
0,7,5,9,1,100.00,100.00,79.09,71.75,66.80
0,7,6,4,0,100.00,100.00,97.56,82.38,78.82
0,7,7,1,0,0.00,100.00,99.82,0.00,66.78
0,8,0,9,0,100.00,100.00,93.36,91.08,88.60
0,8,1,7,1,100.00,100.00,94.46,96.40,93.39
0,8,2,3,1,99.60,99.60,89.50,81.39,75.64
0,8,3,0,2,100.00,100.00,98.47,35.10,36.94
0,8,4,4,2,99.60,99.60,96.13,89.00,89.31
0,8,5,9,1,100.00,100.00,79.09,66.80,67.79
0,8,6,4,0,100.00,100.00,97.56,78.82,75.46
0,8,7,1,0,100.00,100.00,99.82,66.78,62.47
0,8,8,5,0,0.00,100.00,97.87,0.00,93.39
0,9,0,9,0,100.00,100.00,93.36,88.60,89.89
0,9,1,7,1,100.00,100.00,94.46,93.39,92.41
0,9,2,3,1,99.60,99.60,89.50,75.64,71.09
0,9,3,0,2,100.00,100.00,98.47,36.94,39.80
0,9,4,4,2,99.60,98.80,96.13,89.31,82.59
0,9,5,9,1,100.00,100.00,79.09,67.79,82.16
0,9,6,4,0,100.00,100.00,97.56,75.46,80.65
0,9,7,1,0,100.00,100.00,99.82,62.47,83.44
0,9,8,5,0,100.00,100.00,97.87,93.39,92.94
0,9,9,7,2,6.00,100.00,93.97,9.92,81.71
